id,"product-live-url","product-image","offer-price","original-price","product-charge","discount","product-name","product-badge"
24,"https://www.joyalukkas.in/multi-gem-rustic-gold-bangle-bm13037567.html","https://cdn.joyalukkas.in/media/catalog/product/b/m/bm13037567_1.jpg?tr=w-360","₹167,439","₹181,894","on Making Charges","50% Off","Multi Gem Rustic Gold Bangle","Express Delivery"
25,"https://www.joyalukkas.in/elegant-leafy-radiance-diamond-choker-necklace-dsdn00013867.html","https://cdn.joyalukkas.in/media/catalog/product/d/s/dsdn00013867.jpg?tr=w-360","₹2,965,000","₹3,261,000","on Making Charges","50% Off","Elegant Leafy Radiance Diamond Choker Necklace",
26,"https://www.joyalukkas.in/goddess-grace-gold-jhumkas-ds1100204869.html","https://cdn.joyalukkas.in/media/catalog/product/d/s/ds1100204869.jpg?tr=w-360","₹175,085","₹194,272","on Making Charges","50% Off","Goddess Grace Gold Jhumkas","New"
27,"https://www.joyalukkas.in/blooming-elegance-diamond-jhumkas-dsde00041950.html","https://cdn.joyalukkas.in/media/catalog/product/d/s/dsde00041950.jpg?tr=w-360","₹521,000","₹563,000","on Making Charges","50% Off","Blooming Elegance Diamond Jhumkas",
28,"https://www.joyalukkas.in/royal-lakshmi-radiance-gold-necklace-ds1400106172.html","https://cdn.joyalukkas.in/media/catalog/product/d/s/ds1400106712_1.jpg?tr=w-360","₹2,156,000","₹2,452,000","on Making Charges","50% Off","Royal Lakshmi Radiance Gold Necklace","New"
29,"https://www.joyalukkas.in/stunning-strikes-sequence-gold-bangle-bm13087674.html","https://cdn.joyalukkas.in/media/catalog/product/b/m/bm13087674_1.jpg?tr=w-360","₹160,617","₹176,954","on Making Charges","50% Off","Stunning Strikes Sequence Gold Bangle",
30,"https://www.joyalukkas.in/dazzling-luminary-earring-dsde00030378.html","https://cdn.joyalukkas.in/media/catalog/product/d/s/dsde00030378_1.jpg?tr=w-360","₹70,074","₹75,972","on Making Charges","50% Off","Dazzling Luminary Earring","New"
31,"https://www.joyalukkas.in/captivating-gemstone-bangles-dspg00005027.html","https://cdn.joyalukkas.in/media/catalog/product/d/s/dspg00005027_1.jpg?tr=w-360","₹106,986","₹118,467","on Making Charges","50% Off","Captivating Gemstone Bangles",
32,"https://www.joyalukkas.in/thin-multi-gem-classy-gold-bangle-bm13054001.html","https://cdn.joyalukkas.in/media/catalog/product/b/m/bm13054001_1.jpg?tr=w-360","₹101,600","₹110,415","on Making Charges","50% Off","Thin Multi Gem Classy Gold Bangle","Express Delivery"
33,"https://www.joyalukkas.in/regal-gemstone-bangles-dspg00001920.html","https://cdn.joyalukkas.in/media/catalog/product/d/s/dspg00001920_1.jpg?tr=w-360","₹144,063","₹155,804","on Making Charges","50% Off","Regal Gemstone Bangles",
34,"https://www.joyalukkas.in/rustic-round-gold-bangle-ds1300002243.html","https://cdn.joyalukkas.in/media/catalog/product/d/s/ds1300002243_1.jpg?tr=w-360","₹152,008","₹167,651","on Making Charges","50% Off","Rustic Round Gold Bangle","New"
35,"https://www.joyalukkas.in/droplet-delight-ring-dsdr00021793.html","https://cdn.joyalukkas.in/media/catalog/product/d/s/dsdr00021793_1.jpg?tr=w-360","₹22,720","₹24,897","on Making Charges","50% Off","Droplet Delight Ring",
36,"https://www.joyalukkas.in/gleaming-gemstone-bangles-dspg00004121.html","https://cdn.joyalukkas.in/media/catalog/product/d/s/dspg00004121_1.jpg?tr=w-360","₹98,417","₹109,059","on Making Charges","50% Off","Gleaming Gemstone Bangles",
37,"https://www.joyalukkas.in/exquisite-gold-bangle-ds1300013022.html","https://cdn.joyalukkas.in/media/catalog/product/d/s/ds1300013022_1.jpg?tr=w-360","₹184,123","₹202,988","on Making Charges","50% Off","Exquisite Gold Bangle","New"
38,"https://www.joyalukkas.in/diamond-elegance-bracelet-dsdb00001570.html","https://cdn.joyalukkas.in/media/catalog/product/d/s/dsdb00001570_1.jpg?tr=w-360","₹378,923","₹413,024","on Making Charges","50% Off","Diamond Elegance Bracelet",
39,"https://www.joyalukkas.in/majestic-gemstone-bangles-dspg00003354.html","https://cdn.joyalukkas.in/media/catalog/product/d/s/dspg00003354_1.jpg?tr=w-360","₹93,091","₹102,809","on Making Charges","50% Off","Majestic Gemstone Bangles",
40,"https://www.joyalukkas.in/thin-bumpy-edge-exciting-designer-gold-bangle-bm13088820.html","https://cdn.joyalukkas.in/media/catalog/product/b/m/bm13088820_1.jpg?tr=w-360","₹174,254","₹189,334","on Making Charges","50% Off","Thin Bumpy Edge Exciting Designer Gold Bangle","New"
41,"https://www.joyalukkas.in/multi-gem-rough-border-gold-bangle-ds1300001805.html","https://cdn.joyalukkas.in/media/catalog/product/d/s/ds1300001805_1.jpg?tr=w-360","₹159,658","₹173,502","on Making Charges","50% Off","Multi Gem Rough Border Gold Bangle","Express Delivery"
42,"https://www.joyalukkas.in/icy-delight-earring-dsde00030381.html","https://cdn.joyalukkas.in/media/catalog/product/d/s/dsde00030381_1.jpg?tr=w-360","₹38,596","₹41,969","on Making Charges","50% Off","Icy Delight Earring","Express Delivery"
