id,"product_img","product-name","product-name href","new-price","WebRupee","btn","tah-vc-icon src","offer","bvideo-icon2 href","bvideo-icon2"
106,,"The Gilda Ring","https://www.bluestone.com/rings/the-gilda-ring~58773.html?impEvent=browseclick&posEvent=106&sortbyEvent=mostpopular&tagEvent=","59,987","Rs.","Book Video Call","https://kinclimg8.bluestone.com/f_webp/static/resources/themes/bluestone/images/new/static/tah/video-call-icon.png","Upto 15% off on Making Charges","https://www.bluestone.com/jewellery/filter/22k-only+metal.html#bvideo-fancybox","Play Video"
107,"https://kinclimg6.bluestone.com/f_webp,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BIRS0376R11_YAA22XXXXXXXXXXXX_ABCD00-PICS-00001-1024-27223.png","The Amory Ring","https://www.bluestone.com/rings/the-amory-ring~34640.html?impEvent=browseclick&posEvent=107&sortbyEvent=mostpopular&tagEvent=","33,081","Rs.","Book Video Call","https://kinclimg8.bluestone.com/f_webp/static/resources/themes/bluestone/images/new/static/tah/video-call-icon.png","Upto 15% off on Making Charges","https://www.bluestone.com/jewellery/filter/22k-only+metal.html#bvideo-fancybox","Play Video"
108,"https://kinclimg1.bluestone.com/f_webp,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BVOR0051B045_YAA22XXXXXXXXXXXX_ABCD00-PICS-00002-1024-26578.png","The Swishing Spangle Bangle","https://www.bluestone.com/bangles/the-swishing-spangle-bangle~6003.html?impEvent=browseclick&posEvent=108&sortbyEvent=mostpopular&tagEvent=","1,52,801","Rs.","Book Video Call","https://kinclimg8.bluestone.com/f_webp/static/resources/themes/bluestone/images/new/static/tah/video-call-icon.png","Upto 15% off on Making Charges","https://www.bluestone.com/jewellery/filter/22k-only+metal.html#bvideo-fancybox","Play Video"
109,"https://kinclimg3.bluestone.com/f_webp,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BISP0578R06_YAA22XXXXXXXXXXXX_ABCD00-PICS-00001-1024-45262.png","The Vidula Mangalsutra Ring","https://www.bluestone.com/rings/the-vidula-mangalsutra-ring~60233.html?impEvent=browseclick&posEvent=109&sortbyEvent=mostpopular&tagEvent=","40,274","Rs.","Book Video Call","https://kinclimg8.bluestone.com/f_webp/static/resources/themes/bluestone/images/new/static/tah/video-call-icon.png","Upto 15% off on Making Charges","https://www.bluestone.com/jewellery/filter/22k-only+metal.html#bvideo-fancybox","Play Video"
110,"https://kinclimg2.bluestone.com/f_webp,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BVCC0611C09_YAA22XXXXXXXXXXXX_ABCD00-PICS-00003-1024-44620.png","The Navika Gold Chain","https://www.bluestone.com/chains/the-navika-gold-chain~59382.html?impEvent=browseclick&posEvent=110&sortbyEvent=mostpopular&tagEvent=","1,34,697","Rs.","Book Video Call","https://kinclimg8.bluestone.com/f_webp/static/resources/themes/bluestone/images/new/static/tah/video-call-icon.png","Upto 15% off on Making Charges",,
111,,"The Parnika Vanki Ring","https://www.bluestone.com/rings/the-parnika-vanki-ring~75789.html?impEvent=browseclick&posEvent=111&sortbyEvent=mostpopular&tagEvent=","43,770","Rs.","Book Video Call","https://kinclimg8.bluestone.com/f_webp/static/resources/themes/bluestone/images/new/static/tah/video-call-icon.png","Upto 15% off on Making Charges","https://www.bluestone.com/jewellery/filter/22k-only+metal.html#bvideo-fancybox","Play Video"
112,"https://kinclimg4.bluestone.com/f_webp,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BVCC0611C05_YAA22XXXXXXXXXXXX_ABCD00-PICS-00003-1024-44624.png","The Toral Gold Chain","https://www.bluestone.com/chains/the-toral-gold-chain~59383.html?impEvent=browseclick&posEvent=112&sortbyEvent=mostpopular&tagEvent=","1,10,275","Rs.","Book Video Call","https://kinclimg8.bluestone.com/f_webp/static/resources/themes/bluestone/images/new/static/tah/video-call-icon.png","Upto 15% off on Making Charges",,
113,"https://kinclimg6.bluestone.com/f_webp,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BVCC0310C04_YAA22XXXXXXXXXXXX_ABCD00-PICS-00003-1024-11135.png","The Aabheri Gold Chain","https://www.bluestone.com/chains/the-aabheri-gold-chain~20375.html?impEvent=browseclick&posEvent=113&sortbyEvent=mostpopular&tagEvent=","1,09,461","Rs.","Book Video Call","https://kinclimg8.bluestone.com/f_webp/static/resources/themes/bluestone/images/new/static/tah/video-call-icon.png","Upto 15% off on Making Charges",,
114,"https://kinclimg6.bluestone.com/f_webp,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BP-P28_YAA22XXXXXXXXXXXX_ABCD00-PICS-00004-1024-34388.png","The Divine Om Pendant","https://www.bluestone.com/pendants/the-divine-om-pendant~534.html?impEvent=browseclick&posEvent=114&sortbyEvent=mostpopular&tagEvent=","20,416","Rs.","Book Video Call","https://kinclimg8.bluestone.com/f_webp/static/resources/themes/bluestone/images/new/static/tah/video-call-icon.png","Upto 15% off on Making Charges","https://www.bluestone.com/jewellery/filter/22k-only+metal.html#bvideo-fancybox","Play Video"
115,"https://kinclimg9.bluestone.com/f_webp,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BIPN0725R26_YAA22XXXXXXXXXXXX_ABCD00-PICS-00001-1024-62091.png","The Denara Vanki Ring","https://www.bluestone.com/rings/the-denara-vanki-ring~91089.html?impEvent=browseclick&posEvent=115&sortbyEvent=mostpopular&tagEvent=","69,819","Rs.","Book Video Call","https://kinclimg8.bluestone.com/f_webp/static/resources/themes/bluestone/images/new/static/tah/video-call-icon.png","Upto 15% off on Making Charges","https://www.bluestone.com/jewellery/filter/22k-only+metal.html#bvideo-fancybox","Play Video"
116,,"The Brilliante Watch Charm","https://www.bluestone.com/watch+accessory/the-brilliante-watch-charm~80277.html?impEvent=browseclick&posEvent=116&sortbyEvent=mostpopular&tagEvent=","6,310","Rs.","Book Video Call","https://kinclimg8.bluestone.com/f_webp/static/resources/themes/bluestone/images/new/static/tah/video-call-icon.png","Upto 15% off on Making Charges","https://www.bluestone.com/jewellery/filter/22k-only+metal.html#bvideo-fancybox","Play Video"
117,"https://kinclimg2.bluestone.com/f_webp,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BVRG0536D01_YAA22XXXXXXXXXXXX_ABCD00-PICS-00004-1024-35911.png","The Fabiola Drop Earrings","https://www.bluestone.com/earrings/the-fabiola-drop-earrings~44338.html?impEvent=browseclick&posEvent=117&sortbyEvent=mostpopular&tagEvent=","51,893","Rs.","Book Video Call","https://kinclimg8.bluestone.com/f_webp/static/resources/themes/bluestone/images/new/static/tah/video-call-icon.png","Upto 15% off on Making Charges","https://www.bluestone.com/jewellery/filter/22k-only+metal.html#bvideo-fancybox","Play Video"
118,"https://kinclimg7.bluestone.com/f_webp,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BVCK0530C04_YAA22XXXXXXXXXXXX_ABCD00-PICS-00003-1024-35211.png","The Leia Gold Chain","https://www.bluestone.com/chains/the-leia-gold-chain~43605.html?impEvent=browseclick&posEvent=118&sortbyEvent=mostpopular&tagEvent=","47,210","Rs.","Book Video Call","https://kinclimg8.bluestone.com/f_webp/static/resources/themes/bluestone/images/new/static/tah/video-call-icon.png","Upto 15% off on Making Charges",,
119,"https://kinclimg9.bluestone.com/f_webp,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BIPS0004P15_YAA22XXXXXXXXXXXX_ABCD00-PICS-00004-1024-34380.png","The Gold Kiss Heart Pendant","https://www.bluestone.com/pendants/the-gold-kiss-heart-pendant~1227.html?impEvent=browseclick&posEvent=119&sortbyEvent=mostpopular&tagEvent=","22,173","Rs.","Book Video Call","https://kinclimg8.bluestone.com/f_webp/static/resources/themes/bluestone/images/new/static/tah/video-call-icon.png","Upto 15% off on Making Charges","https://www.bluestone.com/jewellery/filter/22k-only+metal.html#bvideo-fancybox","Play Video"
120,"https://kinclimg5.bluestone.com/f_webp,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BIDK0835B16_YAA22XXXXXXXXXXXX_ABCD00-PICS-00002-1024-60397.png","The Flying Feather Round Bangle","https://www.bluestone.com/bangles/the-flying-feather-round-bangle~87774.html?impEvent=browseclick&posEvent=120&sortbyEvent=mostpopular&tagEvent=","1,95,584","Rs.","Book Video Call","https://kinclimg8.bluestone.com/f_webp/static/resources/themes/bluestone/images/new/static/tah/video-call-icon.png","Upto 15% off on Making Charges","https://www.bluestone.com/jewellery/filter/22k-only+metal.html#bvideo-fancybox","Play Video"
121,"https://kinclimg3.bluestone.com/f_webp,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BVOR0759R13_YAA22XXXXXXXXXXXX_ABCD00-PICS-00001-1024-54963.png","The Terell Band For Her","https://www.bluestone.com/rings/the-terell-band-for-her~79345.html?impEvent=browseclick&posEvent=121&sortbyEvent=mostpopular&tagEvent=","55,733","Rs.","Book Video Call","https://kinclimg8.bluestone.com/f_webp/static/resources/themes/bluestone/images/new/static/tah/video-call-icon.png","Upto 15% off on Making Charges","https://www.bluestone.com/jewellery/filter/22k-only+metal.html#bvideo-fancybox","Play Video"
122,"https://kinclimg3.bluestone.com/f_webp,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BINS0839H11_YAA22XXXXXXXXXXXX_ABCD00-PICS-00004-1024-90225.png","The Dieu Huggie Earrings","https://www.bluestone.com/earrings/the-dieu-huggie-earrings~89034.html?impEvent=browseclick&posEvent=122&sortbyEvent=mostpopular&tagEvent=","47,686","Rs.","Book Video Call","https://kinclimg8.bluestone.com/f_webp/static/resources/themes/bluestone/images/new/static/tah/video-call-icon.png","Upto 15% off on Making Charges","https://www.bluestone.com/jewellery/filter/22k-only+metal.html#bvideo-fancybox","Play Video"
